sig_or_ran	sig_TCP_type	database	all_prot	GS	sig_prot	hit	p-value	hit_prot_list
ran15	pos	uniprot(tumor_suppressor)	14397	658	19	8	5.0430981512427994e-08	{'MEOX2', 'MTUS2', 'SETDB1', 'BRCA1', 'UBE2I', 'TCF4', 'TP53', 'RELA'}
ran15	neg	TTD	14397	464	10	2	0.0033700872987153644	{'TP53', 'CREBBP'}
ran15	neg	uniprot(oncogene)	14397	1408	10	7	3.086933594014873e-07	{'REL', 'SMAD3', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran16	pos	TSgene	14397	878	9	3	0.0013514416969124471	{'TP53', 'CREBBP', 'CDKN1A'}
ran16	pos	uniprot(tumor_suppressor)	14397	658	9	3	0.0004531526388944912	{'UBE2I', 'MEOX2', 'TP53'}
ran16	neg	TTD	14397	464	11	2	0.004523819719885822	{'TP53', 'CREBBP'}
ran16	neg	uniprot(oncogene)	14397	1408	11	6	1.9527523356050183e-05	{'SMAD3', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran17	pos	TSgene	14397	878	14	3	0.008402105844680445	{'TP53', 'CREBBP', 'CDKN1A'}
ran17	pos	uniprot(tumor_suppressor)	14397	658	14	4	0.00027856883940931076	{'UBE2I', 'MEOX2', 'TP53', 'MTUS2'}
ran17	neg	TTD	14397	464	17	4	0.00015271628870789026	{'TP53', 'ESR1', 'CREBBP', 'AR'}
ran17	neg	uniprot(oncogene)	14397	1408	17	13	3.53379838317914e-12	{'REL', 'TRAF1', 'SMAD3', 'BRCA1', 'UBE2I', 'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'AR', 'NCOA1', 'CDKN1A', 'RELA'}
ran18	pos	TSgene	14397	878	10	3	0.002144141465523117	{'ZBTB16', 'CREBBP', 'CDKN1A'}
ran18	pos	uniprot(tumor_suppressor)	14397	658	10	3	0.0007280116101006655	{'SETDB1', 'MEOX2', 'UBE2I'}
ran18	neg	TTD	14397	464	22	4	0.0005688298597760264	{'TP53', 'AR', 'MYC', 'CREBBP'}
ran18	neg	uniprot(oncogene)	14397	1408	22	14	5.866427793707555e-11	{'REL', 'TRAF1', 'KAT5', 'SMAD3', 'BRCA1', 'MYC', 'UBE2I', 'FHL2', 'CREBBP', 'ZBTB16', 'TP53', 'AR', 'CDKN1A', 'RELA'}
ran19	pos	TSgene	14397	878	16	7	1.537577128085688e-06	{'BRCA1', 'ESR1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran19	pos	uniprot(tumor_suppressor)	14397	658	16	7	1.695716697305559e-07	{'MEOX2', 'BRCA1', 'TRAF2', 'UBE2I', 'ESR1', 'TCF4', 'TP53'}
ran19	neg	TTD	14397	464	13	3	0.0006039984761435359	{'TP53', 'ESR1', 'CREBBP'}
ran19	neg	uniprot(oncogene)	14397	1408	13	10	4.891388556744041e-10	{'KAT5', 'SMAD3', 'DAXX', 'UBE2I', 'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A', 'RELA'}
ran20	pos	TSgene	14397	878	10	4	0.00016239204402209085	{'ZBTB16', 'CREBBP', 'CDKN1A', 'TP53'}
ran20	pos	uniprot(tumor_suppressor)	14397	658	10	3	0.0007280116101006655	{'UBE2I', 'MEOX2', 'TP53'}
ran20	neg	TTD	14397	464	20	4	0.00035320695226996336	{'ESR1', 'TP53', 'AR', 'CREBBP'}
ran20	neg	uniprot(oncogene)	14397	1408	20	14	6.4491905257090745e-12	{'REL', 'SMAD3', 'VIM', 'BRCA1', 'UBE2I', 'FHL2', 'ESR1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'AR', 'NCOA1', 'CDKN1A'}
ran21	pos	TSgene	14397	878	24	7	5.668199941911388e-05	{'BRCA1', 'CREBBP', 'ZBTB16', 'TP53', 'IKZF3', 'CDKN1A', 'PIN1'}
ran21	pos	uniprot(tumor_suppressor)	14397	658	24	9	4.072836114507303e-08	{'MEOX2', 'MTUS2', 'LZTS2', 'DAXX', 'PIN1', 'BRCA1', 'UBE2I', 'TP53', 'RELA'}
ran21	neg	TTD	14397	464	11	2	0.004523819719885822	{'TP53', 'CREBBP'}
ran21	neg	uniprot(oncogene)	14397	1408	11	7	1.03420581005908e-06	{'TRAF1', 'SMAD3', 'UBE2I', 'CREBBP', 'TP53', 'CDKN1A', 'RELA'}
ran22	pos	TSgene	14397	878	12	4	0.00046048553772546166	{'TP53', 'VIM', 'CREBBP', 'CDKN1A'}
ran22	pos	uniprot(tumor_suppressor)	14397	658	12	4	0.0001189576464024374	{'UBE2I', 'MEOX2', 'TP53', 'EGFR'}
ran22	neg	TTD	14397	464	12	1	0.05525313199659399	{'TP53'}
ran22	neg	uniprot(oncogene)	14397	1408	12	6	4.289677260224702e-05	{'SMAD3', 'BRCA1', 'UBE2I', 'TP53', 'CDKN1A', 'RELA'}
ran23	pos	TSgene	14397	878	9	3	0.0013514416969124471	{'TP53', 'CREBBP', 'CDKN1A'}
ran23	pos	uniprot(tumor_suppressor)	14397	658	9	3	0.0004531526388944912	{'UBE2I', 'MEOX2', 'TP53'}
ran23	neg	TTD	14397	464	13	2	0.007474175261657429	{'TP53', 'CREBBP'}
ran23	neg	uniprot(oncogene)	14397	1408	13	9	1.685449590467479e-08	{'SMAD3', 'EP300', 'UBE2I', 'CREBBP', 'TCF4', 'TP53', 'NCOA1', 'CDKN1A', 'RELA'}
ran24	pos	TSgene	14397	878	15	6	1.2789078049929417e-05	{'VIM', 'BRCA1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran24	pos	uniprot(tumor_suppressor)	14397	658	15	5	3.128538976451709e-05	{'MEOX2', 'MTUS2', 'BRCA1', 'UBE2I', 'TP53'}
ran24	neg	TTD	14397	464	13	3	0.0006039984761435359	{'TP53', 'CREBBP', 'AR'}
ran24	neg	uniprot(oncogene)	14397	1408	13	9	1.685449590467479e-08	{'REL', 'SMAD3', 'DAXX', 'BRCA1', 'UBE2I', 'CREBBP', 'TP53', 'AR', 'CDKN1A'}
ran25	pos	TSgene	14397	878	22	6	0.00023245073084399674	{'BRCA1', 'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran25	pos	uniprot(tumor_suppressor)	14397	658	22	9	1.4594916344598797e-08	{'MEOX2', 'MTUS2', 'SETDB1', 'BRCA1', 'TRAF2', 'UBE2I', 'ESR1', 'TP53', 'RELA'}
ran25	neg	TTD	14397	464	10	4	7.501279338085295e-06	{'TP53', 'CREBBP', 'EGFR', 'AR'}
ran25	neg	uniprot(oncogene)	14397	1408	10	7	3.086933594014873e-07	{'EGFR', 'SMAD3', 'UBE2I', 'CREBBP', 'TP53', 'AR', 'CDKN1A'}
ran26	pos	TSgene	14397	878	22	10	1.546167389479768e-08	{'PIAS1', 'KAT5', 'VIM', 'BRCA1', 'ESR1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran26	pos	uniprot(tumor_suppressor)	14397	658	22	11	3.1958462896781815e-11	{'MEOX2', 'PIAS1', 'KAT5', 'DAXX', 'BRCA1', 'CCND1', 'UBE2I', 'ESR1', 'TCF4', 'TP53', 'RELA'}
ran26	neg	TTD	14397	464	10	3	0.0001916204798897136	{'TP53', 'ESR1', 'CREBBP'}
ran26	neg	uniprot(oncogene)	14397	1408	10	7	3.086933594014873e-07	{'SMAD3', 'UBE2I', 'FHL2', 'ESR1', 'CREBBP', 'TP53', 'CDKN1A'}
ran27	pos	TSgene	14397	878	18	7	4.683976434745225e-06	{'VIM', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A', 'PIN1'}
ran27	pos	uniprot(tumor_suppressor)	14397	658	18	7	5.313513503620652e-07	{'MEOX2', 'MTUS2', 'DAXX', 'UBE2I', 'TCF4', 'TP53', 'PIN1'}
ran27	neg	TTD	14397	464	9	3	0.00011797279966639495	{'TP53', 'CREBBP', 'AR'}
ran27	neg	uniprot(oncogene)	14397	1408	9	7	6.757652807940926e-08	{'SMAD3', 'UBE2I', 'CREBBP', 'TP53', 'AR', 'CDKN1A', 'PIN1'}
ran28	pos	TSgene	14397	878	12	6	1.8515810002222611e-06	{'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A', 'PIN1'}
ran28	pos	uniprot(tumor_suppressor)	14397	658	12	5	6.500080034812936e-06	{'MEOX2', 'UBE2I', 'TCF4', 'TP53', 'PIN1'}
ran28	neg	TTD	14397	464	27	6	1.7506933104347653e-05	{'EGFR', 'MYC', 'ESR1', 'CREBBP', 'TP53', 'AR'}
ran28	neg	uniprot(oncogene)	14397	1408	27	18	6.0341285013206e-14	{'REL', 'TRAF1', 'EGFR', 'CDKN1A', 'PIAS1', 'SMAD3', 'VIM', 'MYC', 'UBE2I', 'FHL2', 'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'AR', 'NCOA1', 'EP300', 'PIN1'}
ran29	pos	TSgene	14397	878	8	3	0.0007887973147813148	{'TP53', 'CREBBP', 'CDKN1A'}
ran29	pos	uniprot(tumor_suppressor)	14397	658	8	2	0.004478262947036506	{'UBE2I', 'TP53'}
ran29	neg	TTD	14397	464	18	2	0.018929582595518794	{'TP53', 'CREBBP'}
ran29	neg	uniprot(oncogene)	14397	1408	18	11	7.762605285561804e-09	{'REL', 'TRAF1', 'SMAD3', 'BRCA1', 'UBE2I', 'FHL2', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A', 'RELA'}
ran30	pos	TSgene	14397	878	11	3	0.0032077754975626976	{'BRCA1', 'CDKN1A', 'CREBBP'}
ran30	pos	uniprot(tumor_suppressor)	14397	658	11	3	0.0011028180575826353	{'UBE2I', 'MEOX2', 'BRCA1'}
ran30	neg	TTD	14397	464	22	3	0.004910694295554332	{'TP53', 'AR', 'CREBBP'}
ran30	neg	uniprot(oncogene)	14397	1408	22	12	1.5173536422041023e-08	{'REL', 'PIAS1', 'SMAD3', 'VIM', 'BRCA1', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'AR', 'CDKN1A', 'PIN1'}
ran31	pos	TSgene	14397	878	16	5	0.00023847285343946186	{'BRCA1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran31	pos	uniprot(tumor_suppressor)	14397	658	16	6	3.2162594959101116e-06	{'MEOX2', 'MTUS2', 'BRCA1', 'UBE2I', 'TP53', 'RELA'}
ran31	neg	TTD	14397	464	14	2	0.009287809186985444	{'TP53', 'CREBBP'}
ran31	neg	uniprot(oncogene)	14397	1408	14	9	5.3791461742633986e-08	{'REL', 'SMAD3', 'BRCA1', 'UBE2I', 'CREBBP', 'TCF4', 'TP53', 'CDKN1A', 'RELA'}
ran32	pos	TSgene	14397	878	20	5	0.0009351912768126992	{'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A'}
ran32	pos	uniprot(tumor_suppressor)	14397	658	20	7	1.4098631272135836e-06	{'MEOX2', 'MTUS2', 'TRAF2', 'UBE2I', 'TCF4', 'TP53', 'RELA'}
ran32	neg	TTD	14397	464	14	2	0.009287809186985444	{'TP53', 'CREBBP'}
ran32	neg	uniprot(oncogene)	14397	1408	14	10	2.079709570000665e-09	{'REL', 'SMAD3', 'VIM', 'BRCA1', 'UBE2I', 'CREBBP', 'TP53', 'NCOA1', 'CDKN1A', 'RELA'}
ran33	pos	TSgene	14397	878	7	1	0.06356759219429	{'CDKN1A'}
ran33	pos	uniprot(tumor_suppressor)	14397	658	7	4	3.821330645673832e-06	{'UBE2I', 'MEOX2', 'TRAF2', 'RELA'}
ran33	neg	TTD	14397	464	11	2	0.004523819719885822	{'TP53', 'CREBBP'}
ran33	neg	uniprot(oncogene)	14397	1408	11	7	1.03420581005908e-06	{'SMAD3', 'BRCA1', 'EP300', 'UBE2I', 'CREBBP', 'TP53', 'CDKN1A'}
ran34	pos	TSgene	14397	878	14	4	0.0010505723717795423	{'VIM', 'BRCA1', 'CDKN1A', 'CREBBP'}
ran34	pos	uniprot(tumor_suppressor)	14397	658	14	3	0.0029977415124010005	{'UBE2I', 'MEOX2', 'BRCA1'}
ran34	neg	TTD	14397	464	8	1	0.025513406137052844	{'CREBBP'}
ran34	neg	uniprot(oncogene)	14397	1408	8	5	2.038426529621829e-05	{'SMAD3', 'UBE2I', 'CREBBP', 'ZBTB16', 'CDKN1A'}
ran35	pos	TSgene	14397	878	12	3	0.00458142047730011	{'TP53', 'CREBBP', 'CDKN1A'}
ran35	pos	uniprot(tumor_suppressor)	14397	658	12	5	6.500080034812936e-06	{'MEOX2', 'MTUS2', 'TRAF2', 'UBE2I', 'TP53'}
ran35	neg	TTD	14397	464	10	2	0.0033700872987153644	{'TP53', 'CREBBP'}
ran35	neg	uniprot(oncogene)	14397	1408	10	6	7.759048553974358e-06	{'REL', 'SMAD3', 'UBE2I', 'CREBBP', 'TP53', 'CDKN1A'}
ran36	pos	TSgene	14397	878	14	6	7.199886015215958e-06	{'BRCA1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A', 'PIN1'}
ran36	pos	uniprot(tumor_suppressor)	14397	658	14	5	1.9524567288258006e-05	{'MEOX2', 'BRCA1', 'UBE2I', 'TP53', 'PIN1'}
ran36	neg	TTD	14397	464	13	3	0.0006039984761435359	{'TP53', 'CREBBP', 'AR'}
ran36	neg	uniprot(oncogene)	14397	1408	13	9	1.685449590467479e-08	{'REL', 'SMAD3', 'BRCA1', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'AR', 'CDKN1A'}
ran37	pos	TSgene	14397	878	17	7	2.7490592291672326e-06	{'PIAS1', 'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A', 'PIN1'}
ran37	pos	uniprot(tumor_suppressor)	14397	658	17	7	3.0748932322751637e-07	{'MEOX2', 'PIAS1', 'TRAF2', 'UBE2I', 'ESR1', 'TP53', 'PIN1'}
ran37	neg	TTD	14397	464	18	2	0.018929582595518794	{'TP53', 'CREBBP'}
ran37	neg	uniprot(oncogene)	14397	1408	18	10	1.2536763441298842e-07	{'REL', 'SMAD3', 'BRCA1', 'UBE2I', 'FHL2', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A', 'RELA'}
ran38	pos	TSgene	14397	878	10	4	0.00016239204402209085	{'TP53', 'ESR1', 'CREBBP', 'CDKN1A'}
ran38	pos	uniprot(tumor_suppressor)	14397	658	10	4	4.0864182094899835e-05	{'UBE2I', 'MEOX2', 'TP53', 'ESR1'}
ran38	neg	TTD	14397	464	20	3	0.003422243074008911	{'TP53', 'AR', 'CREBBP'}
ran38	neg	uniprot(oncogene)	14397	1408	20	12	2.8539671168394796e-09	{'REL', 'TRAF1', 'SMAD3', 'UBE2I', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'AR', 'NCOA1', 'CDKN1A', 'RELA'}
ran39	pos	TSgene	14397	878	9	3	0.0013514416969124471	{'VIM', 'CREBBP', 'CDKN1A'}
ran39	pos	uniprot(tumor_suppressor)	14397	658	9	2	0.006490818100938526	{'UBE2I', 'MEOX2'}
ran39	neg	TTD	14397	464	11	2	0.004523819719885822	{'CREBBP', 'AR'}
ran39	neg	uniprot(oncogene)	14397	1408	11	8	3.6626190399533504e-08	{'SMAD3', 'BRCA1', 'UBE2I', 'FHL2', 'CREBBP', 'ZBTB16', 'AR', 'CDKN1A'}
ran40	pos	TSgene	14397	878	19	6	8.070219974446874e-05	{'VIM', 'BRCA1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
ran40	pos	uniprot(tumor_suppressor)	14397	658	19	5	0.00014494810871946908	{'MEOX2', 'MTUS2', 'BRCA1', 'UBE2I', 'TP53'}
ran40	neg	TTD	14397	464	23	3	0.005795520563778639	{'ESR1', 'TP53', 'CREBBP'}
ran40	neg	uniprot(oncogene)	14397	1408	23	15	8.14854829360341e-12	{'REL', 'TRAF1', 'PIAS1', 'SMAD3', 'DAXX', 'PIN1', 'UBE2I', 'FHL2', 'ESR1', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'CDKN1A', 'RELA'}
ran41	pos	TSgene	14397	878	20	6	0.00011765072292821157	{'BRCA1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A', 'PIN1'}
ran41	pos	uniprot(tumor_suppressor)	14397	658	20	8	8.798435570243381e-08	{'MEOX2', 'MTUS2', 'PIN1', 'BRCA1', 'TRAF2', 'UBE2I', 'TP53', 'RELA'}
ran41	neg	TTD	14397	464	12	3	0.0004290293305516408	{'TP53', 'CREBBP', 'AR'}
ran41	neg	uniprot(oncogene)	14397	1408	12	8	1.3370748245286992e-07	{'SMAD3', 'UBE2I', 'CREBBP', 'TCF4', 'ZBTB16', 'TP53', 'AR', 'CDKN1A'}
ran42	pos	TSgene	14397	878	12	3	0.00458142047730011	{'TP53', 'CREBBP', 'CDKN1A'}
ran42	pos	uniprot(tumor_suppressor)	14397	658	12	3	0.001594748263107805	{'UBE2I', 'MEOX2', 'TP53'}
ran42	neg	TTD	14397	464	11	2	0.004523819719885822	{'TP53', 'CREBBP'}
ran42	neg	uniprot(oncogene)	14397	1408	11	8	3.6626190399533504e-08	{'SMAD3', 'UBE2I', 'CREBBP', 'ZBTB16', 'TP53', 'NCOA1', 'CDKN1A', 'RELA'}
ran43	pos	TSgene	14397	878	16	6	2.154024543447283e-05	{'BRCA1', 'ESR1', 'CREBBP', 'ZBTB16', 'TP53', 'CDKN1A'}
