TF1	TF2	corrE_A375	corrIE_A375	corrEZ_A375	corrIEZ_A375	Zobs(TCPS)_A375	p_value_A375	FDR_A375	negLog10_FDR_A375	corrE_HT29	corrIE_HT29	corrEZ_HT29	corrIEZ_HT29	Zobs(TCPS)_HT29	p_value_HT29	FDR_HT29	negLog10_FDR_HT29	negLog10_FDR_SUM
RUNX3	SMARCA4	0.46748	-0.05849	0.50684	-0.05856	5.24621	1.55263e-07	0.00017810799999999998	3.7493199999999995	0.62856	0.25448000000000004	0.73903	0.2602	3.78548	0.000153413	0.0279791	1.5531700000000002	5.302
SMARCA4	TLX1	-0.32195	0.054520000000000006	-0.33382	0.05457000000000001	-3.6038099999999997	0.000313588	0.0163946	1.7853	-0.69789	-0.17099	-0.86318	-0.17269	-5.45878	4.79419e-08	0.00047118400000000003	3.32681	5.112
CEBPE	MXI1	0.59635	0.25495999999999996	0.6874600000000001	0.26071	3.95972	7.5037e-05	0.00750234	2.1248	0.5715100000000001	-0.01222	0.64976	-0.01222	5.23341	1.6641200000000002e-07	0.00109036	2.96243	5.087
CEBPE	ENO1	0.59635	0.25495999999999996	0.6874600000000001	0.26071	3.95972	7.5037e-05	0.00750234	2.1248	0.5715100000000001	-0.01222	0.64976	-0.01222	5.23341	1.6641200000000002e-07	0.00109036	2.96243	5.087
MYBL2	TLX1	0.87511	0.66138	1.35451	0.79525	5.18924	2.11154e-07	0.00021266200000000002	3.67231	0.85387	0.6713899999999999	1.2702799999999999	0.81328	3.61291	0.000302775	0.0386775	1.41254	5.085
FOXL2	SOX17	-0.59407	-0.12201	-0.68393	-0.12262999999999999	-5.20832	1.90562e-07	0.00020101	3.6967800000000004	-0.43072	-0.0219	-0.46078	-0.02191	-3.4696300000000004	0.000521172	0.0498643	1.30221	4.999
APEX1	HIC1	-0.47873999999999994	0.01926	-0.5213399999999999	0.01926	-5.01621	5.27021e-07	0.0003597	3.44406	-0.52441	-0.10659	-0.58241	-0.107	-3.75845	0.000170966	0.029435400000000004	1.5311299999999999	4.975
MYCN	POU2F2	0.67271	0.26418	0.81567	0.27059	5.05774	4.24263e-07	0.000307731	3.5118300000000002	0.6493899999999999	0.30834	0.7742399999999999	0.31871	3.60125	0.000316686	0.039391	1.4046	4.916
SFPQ	YBX1	-0.5508	-0.11434000000000001	-0.61953	-0.11484000000000001	-4.68297	2.82745e-06	0.00100684	2.99704	-0.6150800000000001	-0.18408	-0.71706	-0.1862	-4.19676	2.70763e-05	0.013272399999999998	1.87705	4.874
POU2F2	SFPQ	0.47675	-0.00853	0.51877	-0.00853	4.89279	9.94142e-07	0.000543489	3.2648099999999998	0.5139199999999999	0.08363	0.56805	0.08383	3.82809	0.000129144	0.025850400000000003	1.5875299999999999	4.852
HIC1	NFRKB	0.35226	-0.14287	0.36803	-0.14386	4.7497	2.0371900000000003e-06	0.000846594	3.07232	0.41163999999999995	-0.07012	0.43758	-0.07024	4.01463	5.9538999999999994e-05	0.0183102	1.73731	4.810
HOXA1	TLX1	0.6741	0.29825999999999997	0.81822	0.30761	4.7379	2.1594e-06	0.000878651	3.05618	0.7933899999999999	0.5209699999999999	1.08051	0.57767	3.9752400000000003	7.03081e-05	0.0196498	1.7066400000000002	4.763
SFPQ	SPDEF	-0.43293000000000004	0.03812	-0.4635	0.03814	-4.65463	3.2457e-06	0.0010962	2.96011	-0.57257	-0.13607	-0.65133	-0.13692000000000001	-4.06674	4.76751e-05	0.0163957	1.7852700000000001	4.745
APBB1	ASCL1	0.45724	0.09863999999999999	0.49382	0.09896	3.6638699999999997	0.000248436	0.0144701	1.8395299999999999	0.62221	0.07812999999999999	0.7286	0.07829	5.14109	2.73149e-07	0.00142183	2.84715	4.687
APEX1	ILF3	0.42671000000000003	-0.05943	0.45587	-0.0595	4.782030000000001	1.73533e-06	0.000769988	3.1135200000000003	0.44648999999999994	0.01875	0.4803	0.01875	3.6489	0.000263361	0.0359745	1.444	4.558
HIC1	ZNF383	-0.35453	0.13867000000000002	-0.37061	0.13957	-4.7339	2.20244e-06	0.00087992	3.05556	-0.38218	0.063	-0.40260999999999997	0.06308	-3.68163	0.00023175099999999998	0.0340209	1.46825	4.524
ELF1	HHEX	0.27349	-0.08198	0.28063	-0.08216	3.3662900000000002	0.000761875	0.027395799999999998	1.5623200000000002	0.45353000000000004	-0.16704000000000002	0.48913	-0.16862	5.200019999999999	1.9927199999999999e-07	0.00119806	2.92152	4.484
ECD	GATA6	0.42446999999999996	0.03742	0.45314	0.03744	3.8572	0.000114692	0.00957295	2.01895	0.5973	0.09167	0.68894	0.09193	4.71978	2.36102e-06	0.00389488	2.40951	4.428
RUNX3	STAT4	-0.28385	0.21144000000000002	-0.29186999999999996	0.21468	-4.7001599999999994	2.59961e-06	0.000953341	3.02075	-0.41353999999999996	0.013309999999999999	-0.43987	0.013309999999999999	-3.5827400000000003	0.000340009	0.0406726	1.3907	4.411
CEBPE	DLX5	-0.26533	0.07773	-0.27183	0.07787999999999999	-3.24499	0.00117453	0.0347019	1.45965	-0.38156999999999996	0.25261	-0.4019	0.2582	-5.21854	1.80336e-07	0.00114347	2.94177	4.401
TCF4	ZNF300	0.64561	0.25506	0.76774	0.26082	4.70368	2.55515e-06	0.0009458610000000001	3.0241700000000002	0.59125	0.22496999999999998	0.6795899999999999	0.22889	3.5630800000000002	0.00036653099999999996	0.042347699999999995	1.37317	4.397
DENND4A	ILF3	0.4533	0.02502	0.48883999999999994	0.02502	4.30377	1.67918e-05	0.00300882	2.5216	0.55899	0.10242000000000001	0.63136	0.10278	4.1788	2.9305700000000003e-05	0.013981700000000001	1.85444	4.376
POLR1A	YBX1	0.57088	0.18027	0.64882	0.18225999999999998	4.3292	1.49651e-05	0.00278299	2.5554900000000003	0.6423800000000001	0.24011999999999997	0.76222	0.2449	4.08974	4.31851e-05	0.015837	1.80033	4.356
E2F7	YBX1	0.57088	0.18027	0.64882	0.18225999999999998	4.3292	1.49651e-05	0.00278299	2.5554900000000003	0.6423800000000001	0.24011999999999997	0.76222	0.2449	4.08974	4.31851e-05	0.015837	1.80033	4.356
E2F8	YBX1	0.57088	0.18027	0.64882	0.18225999999999998	4.3292	1.49651e-05	0.00278299	2.5554900000000003	0.6423800000000001	0.24011999999999997	0.76222	0.2449	4.08974	4.31851e-05	0.015837	1.80033	4.356
AATF	HOXA1	0.77364	0.48705	1.0293299999999999	0.5321899999999999	4.6129	3.97092e-06	0.00124093	2.90625	0.7542	0.48235	0.98261	0.52605	3.60949	0.00030680400000000004	0.0389124	1.40991	4.316
RUNX3	ZBTB7A	0.43613999999999997	-0.03452	0.46746000000000004	-0.03453	4.65787	3.1949599999999996e-06	0.00108594	2.9641900000000003	0.33907	-0.0895	0.35304	-0.08974	3.50045	0.000464475	0.0472319	1.32576	4.290
CEBPE	HOXA1	-0.34454	0.02797	-0.35923	0.02798	-3.59288	0.000327048	0.016806799999999997	1.7745099999999998	-0.3262	0.26339	-0.33857	0.26975	-4.80919	1.5154300000000001e-06	0.00334696	2.47535	4.250
E2F4	POU2F2	-0.45371000000000006	-0.1068	-0.48936	-0.10720999999999999	-3.54595	0.000391206	0.018690400000000003	1.72838	-0.64755	-0.1666	-0.77107	-0.16817000000000001	-4.766369999999999	1.8757499999999998e-06	0.00344427	2.4629	4.191
HOXA10	NUPR1	-0.29957	0.12616	-0.30905	0.12684	-4.04455	5.24231e-05	0.00608036	2.21607	-0.52023	-0.03363	-0.5766600000000001	-0.033639999999999996	-4.29288	1.76366e-05	0.010601600000000001	1.9746299999999999	4.191
CDX2	SFPQ	-0.25847	0.13738	-0.26447	0.13825	-3.7368300000000003	0.000186358	0.0124767	1.9039	-0.64266	-0.18101	-0.76269	-0.18303	-4.5826199999999995	4.59185e-06	0.00549473	2.26005	4.164
CEBPE	STAT4	-0.24333000000000002	0.2076	-0.24831	0.21066	-4.2587	2.05617e-05	0.0034021	2.46825	-0.34601	0.13545	-0.36091	0.13629000000000002	-3.93065	8.47167e-05	0.0212957	1.6717099999999998	4.140
HOXA10	RARA	-0.47996000000000005	-0.1002	-0.52293	-0.10054	-3.91934	8.879299999999999e-05	0.00830331	2.08075	-0.56006	-0.08061	-0.6329199999999999	-0.08077999999999999	-4.36503	1.27104e-05	0.00893898	2.04871	4.129
ENO1	HOXA1	-0.81347	-0.5759	-1.13719	-0.6563	-4.46207	8.11709e-06	0.00193085	2.71425	-0.85495	-0.67551	-1.27426	-0.82081	-3.58481	0.000337318	0.0404951	1.3926	4.107
HOXA1	MXI1	-0.81347	-0.5759	-1.13719	-0.6563	-4.46207	8.11709e-06	0.00193085	2.71425	-0.85495	-0.67551	-1.27426	-0.82081	-3.58481	0.000337318	0.0404951	1.3926	4.107
BACH2	PGR	0.07846	-0.28115999999999997	0.07862000000000001	-0.28895	3.41065	0.000648094	0.0251415	1.59961	0.61527	0.10442	0.71735	0.10480999999999999	4.84261	1.28146e-06	0.00311329	2.50678	4.106
TCF4	ZBTB7A	-0.56155	-0.20035	-0.6350899999999999	-0.2031	-4.00842	6.11264e-05	0.00665667	2.17674	-0.53709	-0.06557	-0.60006	-0.06567	-4.22472	2.39235e-05	0.0123636	1.90785	4.085
CEBPE	IFI16	0.31335	-0.07495	0.32425	-0.07509	3.7054300000000002	0.00021103099999999998	0.0132358	1.87825	0.38213	-0.16584000000000002	0.40255	-0.16739	4.50575	6.613939999999999e-06	0.00670137	2.17384	4.052
FOXO3	POU2AF1	-0.38424	-0.02543	-0.40503	-0.02543	-3.52225	0.00042790300000000004	0.019832699999999998	1.70262	-0.59268	-0.09029	-0.68179	-0.09054	-4.67427	2.94995e-06	0.00449095	2.34766	4.050
FOXO3	ZNF143	-0.48508	-0.08642999999999999	-0.52961	-0.08665	-4.11015	3.954e-05	0.00511305	2.2913200000000002	-0.61458	-0.20285	-0.71624	-0.2057	-4.03618	5.4328999999999994e-05	0.0176807	1.7525	4.044
SFPQ	SMURF2	0.20613	-0.15633	0.20913	-0.15762	3.40303	0.00066642	0.025525	1.59303	0.5977600000000001	0.08993999999999999	0.68965	0.09018	4.73918	2.1458099999999997e-06	0.00373265	2.42798	4.021
CEBPE	SMARCA4	0.22254000000000002	-0.15663	0.22633000000000003	-0.15793	3.56552	0.00036313199999999995	0.0178214	1.7490599999999998	0.5271100000000001	0.00995	0.58613	0.00995	4.55512	5.23564e-06	0.0059146	2.22807	3.977
DEK	HLTF	0.21853000000000003	-0.14812	0.22211	-0.14920999999999998	3.4455	0.000570007	0.0232889	1.63285	0.53223	0.0028	0.59325	0.0028	4.66798	3.04173e-06	0.00452951	2.34395	3.977
DENND4A	RARB	-0.34103	0.0568	-0.35525999999999996	0.05686	-3.8240199999999995	0.000131295	0.0102291	1.99016	-0.45991000000000004	0.04551	-0.4972	0.04554	-4.29071	1.7810399999999998e-05	0.010641	1.97302	3.963
AATF	TLX1	0.68272	0.39461999999999997	0.83419	0.41726	3.8686800000000003	0.00010942700000000001	0.00932365	2.03041	0.7912100000000001	0.49108999999999997	1.07466	0.5374899999999999	4.24669	2.1695700000000003e-05	0.0118779	1.9252599999999997	3.956
KLF5	RB1	-0.384	0.020880000000000003	-0.40474	0.020880000000000003	-3.94927	7.83902e-05	0.00768515	2.11435	-0.40038	0.09838	-0.4241	0.0987	-4.13304	3.5800300000000003e-05	0.0147817	1.83028	3.945
HBP1	PURA	0.5624100000000001	0.17090999999999998	0.63634	0.1726	4.30302	1.68489e-05	0.0030163	2.52053	0.43627	0.01069	0.46761	0.0107	3.6122400000000003	0.00030356400000000004	0.0386964	1.4123299999999999	3.933
RUVBL1	SRSF1	0.37601999999999997	-0.05955	0.39542	-0.059620000000000006	4.2222800000000005	2.41846e-05	0.00373721	2.42745	0.48205	0.056920000000000005	0.52565	0.05699	3.70514	0.00021127	0.032469200000000004	1.48853	3.916
PAX2	SRSF1	0.37601999999999997	-0.05955	0.39542	-0.059620000000000006	4.2222800000000005	2.41846e-05	0.00373721	2.42745	0.48205	0.056920000000000005	0.52565	0.05699	3.70514	0.00021127	0.032469200000000004	1.48853	3.916
SRSF1	YEATS4	0.37601999999999997	-0.05955	0.39542	-0.059620000000000006	4.2222800000000005	2.41846e-05	0.00373721	2.42745	0.48205	0.056920000000000005	0.52565	0.05699	3.70514	0.00021127	0.032469200000000004	1.48853	3.916
RB1	SP1	-0.39507	-0.03238	-0.41778999999999994	-0.032389999999999995	-3.5761300000000005	0.000348719	0.0174372	1.75852	-0.66533	-0.23155	-0.80232	-0.23583	-4.47853	7.51591e-06	0.0071027	2.14858	3.907
DENND4A	FOXO4	-0.43075	-0.06859	-0.46082	-0.0687	-3.6384199999999995	0.000274313	0.015236000000000001	1.81713	-0.6270399999999999	-0.17832	-0.73653	-0.18025	-4.3977699999999995	1.09369e-05	0.0082685	2.08257	3.900
DENND4A	POU2F2	0.44492	0.10869000000000001	0.47835	0.10912000000000001	3.42605	0.000612419	0.0242799	1.61475	0.5829	0.08755	0.66684	0.08778	4.57792	4.69624e-06	0.00549473	2.26005	3.875
FOXO3	YBX1	0.51098	0.13543	0.56405	0.13626	3.96939	7.20567e-05	0.00731979	2.1355	0.68847	0.32511	0.84503	0.33735	4.0136400000000005	5.97902e-05	0.0183102	1.73731	3.873
HBP1	SMAD3	-0.51161	-0.18311	-0.56491	-0.18519000000000002	-3.52337	0.00042609300000000006	0.019762799999999997	1.70415	-0.61175	-0.1424	-0.71172	-0.14338	-4.49316	7.017439999999999e-06	0.00684	2.16494	3.869
CEBPE	ZBTB7A	0.36148	-0.056139999999999995	0.37858	-0.0562	4.034269999999999	5.4772600000000005e-05	0.00621973	2.20623	0.26468	-0.21994	0.27113000000000004	-0.22359	3.9111	9.187629999999999e-05	0.0220918	1.65577	3.862
DLX5	HNF4A	0.31604	-0.02962	0.32724000000000003	-0.02963	3.3113599999999996	0.000928425	0.030519599999999997	1.51542	0.49956999999999996	-0.03893	0.54874	-0.03895	4.646059999999999	3.3833600000000002e-06	0.00475035	2.32327	3.839
POU2F2	RBL1	-0.50488	-0.20025	-0.55584	-0.20299	-3.2740299999999998	0.00106024	0.032752699999999996	1.48475	-0.63634	-0.15954000000000002	-0.752	-0.16092	-4.67287	2.97014e-06	0.00449095	2.34766	3.832
APBB1	POU2F1	-0.29072	0.04332	-0.29935	0.04335	-3.1799	0.00147326	0.039287699999999995	1.40574	-0.64286	-0.16469	-0.7630399999999999	-0.16621	-4.718369999999999	2.37742e-06	0.00389488	2.40951	3.815
DENND4A	POLR1A	-0.45912	-0.11072	-0.4962	-0.11118	-3.57255	0.00035352699999999996	0.017588200000000002	1.75478	-0.5989300000000001	-0.1385	-0.69148	-0.13939000000000001	-4.3646400000000005	1.2733299999999999e-05	0.00893898	2.04871	3.803
DENND4A	E2F8	-0.45912	-0.11072	-0.4962	-0.11118	-3.57255	0.00035352699999999996	0.017588200000000002	1.75478	-0.5989300000000001	-0.1385	-0.69148	-0.13939000000000001	-4.3646400000000005	1.2733299999999999e-05	0.00893898	2.04871	3.803
DENND4A	E2F7	-0.45912	-0.11072	-0.4962	-0.11118	-3.57255	0.00035352699999999996	0.017588200000000002	1.75478	-0.5989300000000001	-0.1385	-0.69148	-0.13939000000000001	-4.3646400000000005	1.2733299999999999e-05	0.00893898	2.04871	3.803
E2F6	TFDP1	-0.7652	-0.51804	-1.00863	-0.57365	-4.03613	5.43404e-05	0.00618784	2.2084599999999996	-0.76852	-0.48655	-1.01671	-0.5315300000000001	-3.83569	0.00012521399999999998	0.025531799999999997	1.5929200000000001	3.801
POU2F2	YBX1	-0.65561	-0.42498	-0.78508	-0.45375	-3.0743400000000003	0.00210971	0.0480861	1.31798	-0.74245	-0.33774	-0.9559200000000001	-0.35154	-4.778	1.77047e-06	0.00344427	2.4629	3.781
ENO1	MYBL2	-0.99595	-0.9905299999999999	-3.1004	-2.67393	-3.95718	7.58387e-05	0.00752889	2.12327	-0.99802	-0.9947600000000001	-3.45736	-2.97075	-3.84701	0.000119566	0.0249231	1.6034	3.727
MXI1	MYBL2	-0.99595	-0.9905299999999999	-3.1004	-2.67393	-3.95718	7.58387e-05	0.00752889	2.12327	-0.99802	-0.9947600000000001	-3.45736	-2.97075	-3.84701	0.000119566	0.0249231	1.6034	3.727
MYOCD	MYOD1	-0.3532	0.053070000000000006	-0.3691	0.05312000000000001	-3.9176800000000003	8.94059e-05	0.00832378	2.0796799999999998	-0.48895	-0.04102	-0.53468	-0.04104	-3.90254	9.518729999999999e-05	0.0225699	1.64647	3.726
MTF1	MYOD1	0.5102	0.12045	0.563	0.12103	4.100969999999999	4.11415e-05	0.00523055	2.28145	0.65183	0.30999	0.7784800000000001	0.32053000000000004	3.62036	0.000294196	0.038187900000000004	1.4180700000000002	3.700
TFDP1	ZNF202	0.45061	0.051789999999999996	0.48546999999999996	0.051829999999999994	4.023619999999999	5.7309700000000005e-05	0.0063897	2.1945200000000002	0.5122899999999999	0.09694	0.56583	0.09725	3.7045	0.00021181	0.032469200000000004	1.48853	3.683
DR1	MYBL2	0.13733	-0.22333000000000003	0.1382	-0.22716	3.3901199999999996	0.0006986210000000001	0.0262069	1.58158	0.39	-0.14464000000000002	0.41179	-0.14565999999999998	4.4070800000000006	1.04774e-05	0.00801356	2.09617	3.678
E2F1	MYCN	0.80737	0.6108100000000001	1.11943	0.71022	3.79704	0.000146436	0.010931999999999999	1.9613	0.8498600000000001	0.63625	1.2556399999999999	0.75185	3.9828099999999997	6.810550000000001e-05	0.0194682	1.7106700000000001	3.672
E2F4	E2F6	0.73714	0.47428000000000003	0.94419	0.51558	3.9771099999999997	6.97567e-05	0.0071653	2.1447700000000003	0.6388199999999999	0.27464	0.7561899999999999	0.28188	3.7497300000000005	0.000177026	0.029920099999999998	1.52404	3.669
RUNX3	SIRT1	0.26126	-0.15741	0.26746	-0.15872999999999998	3.95455	7.66799e-05	0.00758176	2.12023	0.39186	-0.0637	0.414	-0.06379	3.77722	0.00015858700000000002	0.028546199999999997	1.54445	3.665
RBL2	ZNF143	-0.39294	-0.013730000000000001	-0.41527	-0.013730000000000001	-3.72579	0.00019470799999999998	0.012740600000000001	1.8948099999999999	-0.35831	0.13606	-0.37494	0.13691	-4.046530000000001	5.1982700000000006e-05	0.017144200000000002	1.76588	3.661
HIC1	HIF1A	-0.40548	-0.02678	-0.43018999999999996	-0.026789999999999998	-3.74318	0.000181707	0.012312700000000001	1.90965	-0.52165	-0.07216	-0.5786	-0.07229	-4.00274	6.26118e-05	0.018865700000000003	1.72433	3.634
IRF1	POU2F2	-0.23178	0.10142999999999999	-0.23606999999999997	0.10178	-3.1349400000000003	0.00171891	0.042644999999999995	1.3701299999999998	-0.6339	-0.16816	-0.7479100000000001	-0.16977	-4.57059	4.86349e-06	0.00559058	2.25254	3.623
HEXIM1	SIX1	-0.47851000000000005	-0.10683	-0.52105	-0.10724000000000002	-3.83972	0.000123173	0.00988168	2.00517	-0.5262600000000001	-0.09691	-0.58495	-0.09722	-3.85589	0.00011531100000000001	0.0244345	1.612	3.617
E2F6	KLF5	-0.31790999999999997	0.058339999999999996	-0.32932	0.058410000000000004	-3.59763	0.000321125	0.0166197	1.77938	-0.43768	0.0559	-0.46936000000000005	0.05596	-4.15299	3.2815500000000005e-05	0.014659899999999998	1.8338700000000001	3.613
E2F4	TFDP1	-0.7569899999999999	-0.56424	-0.98913	-0.63903	-3.2486099999999998	0.00115971	0.0344565	1.4627299999999999	-0.82239	-0.53727	-1.16415	-0.60031	-4.45754	8.2904e-06	0.00733229	2.13476	3.597
DENND4A	FOXO3	-0.47203	-0.08632999999999999	-0.51268	-0.08653999999999999	-3.9540699999999998	7.68336e-05	0.00759067	2.11972	-0.65815	-0.31304	-0.7895399999999999	-0.32391	-3.68115	0.00023218799999999998	0.0340371	1.46805	3.588
FOS	POU1F1	0.42927	0.07374	0.459	0.07387	3.57361	0.000352095	0.0175347	1.7561	0.5543899999999999	0.10128999999999999	0.62469	0.10164	4.13508	3.54827e-05	0.0147817	1.83028	3.586
YBX1	YY1	0.11434000000000001	-0.27831	0.11484000000000001	-0.28585	3.7179599999999997	0.000200842	0.012943200000000002	1.8879599999999999	0.55675	0.12616	0.62812	0.12684	3.96294	7.40322e-05	0.0200996	1.69681	3.585
RARB	REST	0.14040999999999998	-0.25298000000000004	0.14134000000000002	-0.2586	3.7110199999999995	0.00020642400000000003	0.01311	1.8824	0.30574	-0.18278	0.31584	-0.18486	3.95839	7.54562e-05	0.0203178	1.69212	3.575
ILF3	RBMX	-0.42655	-0.04917	-0.45568000000000003	-0.049210000000000004	-3.77156	0.000162228	0.0115245	1.93838	-0.45871999999999996	-0.0053100000000000005	-0.49568999999999996	-0.0053100000000000005	-3.8767699999999996	0.000105852	0.023780000000000003	1.62379	3.562
PRDM1	RUNX3	0.08017	-0.31417	0.08034	-0.32516	3.76265	0.00016812200000000001	0.011787	1.9286	0.39181	-0.0721	0.41394	-0.07222	3.84346	0.000121313	0.0251274	1.59985	3.528
E2F4	POLR1A	0.65809	0.36827	0.78943	0.38642	3.73956	0.00018434099999999998	0.0123965	1.9067	0.65725	0.29083000000000003	0.78795	0.29948	3.86176	0.000112575	0.0242368	1.61552	3.522
E2F4	E2F8	0.65809	0.36827	0.78943	0.38642	3.73956	0.00018434099999999998	0.0123965	1.9067	0.65725	0.29083000000000003	0.78795	0.29948	3.86176	0.000112575	0.0242368	1.61552	3.522
E2F4	E2F7	0.65809	0.36827	0.78943	0.38642	3.73956	0.00018434099999999998	0.0123965	1.9067	0.65725	0.29083000000000003	0.78795	0.29948	3.86176	0.000112575	0.0242368	1.61552	3.522
AATF	MYBL2	0.85049	0.70775	1.25793	0.88266	3.48213	0.0004974490000000001	0.0215329	1.6669	0.8799100000000001	0.69297	1.3753799999999998	0.8536600000000001	4.12456	3.71438e-05	0.0148078	1.8295099999999997	3.496
AATF	IFI16	-0.6745899999999999	-0.39361999999999997	-0.81912	-0.41608	-3.73975	0.0001842	0.0123965	1.9067	-0.70813	-0.379	-0.8834299999999999	-0.39889	-3.8305599999999997	0.000127852	0.025761400000000004	1.58903	3.496
DENND4A	EGR1	0.33682	0.011009999999999999	0.35051	0.011009999999999999	3.15015	0.00163184	0.0414505	1.38247	0.57062	0.08984	0.64845	0.09008	4.41429	1.01341e-05	0.00784103	2.10563	3.488
EHMT2	MAX	0.41036999999999996	0.05176	0.43605	0.05181	3.56541	0.00036329099999999996	0.0178214	1.7490599999999998	0.49656999999999996	0.03875	0.54474	0.03877	4.00002	6.33363e-05	0.0189205	1.72307	3.472
FOXP3	NFATC3	0.16645	-0.23709000000000002	0.16801	-0.24169000000000002	3.80154	0.000143802	0.010846600000000001	1.9647	0.24119000000000002	-0.22174000000000002	0.24603000000000003	-0.22549	3.7277099999999996	0.00019322599999999998	0.031572199999999995	1.5007	3.465
